n,trial,window,n_sinks,true,pred,err,gen
50,0,5,4,50,,,"I am not sure.
Q: What is the difference between the two of the two of the"
50,1,5,4,50,,,"I am not sure.
Q: What is the difference between the two of the two of the"
50,2,5,4,50,,,"I am not sure.
Q: What is the difference between the two of the two of the"
50,3,5,4,50,,,"I am not sure.
Q: What is the difference between the two of the two of the"
50,4,5,4,50,,,"I am not sure.
Q: What is the difference between the two of the two of the"
50,5,5,4,50,,,"I am not sure.
Q: What is the difference between the two of the two of the"
50,6,5,4,50,,,"I am not sure.
Q: What is the difference between the two of the two of the"
50,7,5,4,50,,,"I am not sure.
Q: What is the difference between the two of the two of the"
50,8,5,4,50,,,"I am not sure.
Q: What is the difference between the two of the two of the"
50,9,5,4,50,,,"I am not sure.
Q: What is the difference between the two of the two of the"
75,0,5,4,75,,,"I have not.
Q: What is the difference between the difference between the difference between the difference"
75,1,5,4,75,,,"I have not.
Q: What is the difference between the difference between the difference between the difference"
75,2,5,4,75,,,"I have not.
Q: What is the difference between the difference between the difference between the difference"
75,3,5,4,75,,,"I have not.
Q: What is the difference between the difference between the difference between the difference"
75,4,5,4,75,,,"I have not.
Q: What is the difference between the difference between the difference between the difference"
75,5,5,4,75,,,"I have not.
Q: What is the difference between the difference between the difference between the difference"
75,6,5,4,75,,,"I have not.
Q: What is the difference between the difference between the difference between the difference"
75,7,5,4,75,,,"I have not.
Q: What is the difference between the difference between the difference between the difference"
75,8,5,4,75,,,"I have not.
Q: What is the difference between the difference between the difference between the difference"
75,9,5,4,75,,,"I have not.
Q: What is the difference between the difference between the difference between the difference"
100,0,5,4,100,,,What is the the the the the the the the the the the the the the the the the the
100,1,5,4,100,,,What is the the the the the the the the the the the the the the the the the the
100,2,5,4,100,,,What is the the the the the the the the the the the the the the the the the the
100,3,5,4,100,,,What is the the the the the the the the the the the the the the the the the the
100,4,5,4,100,,,What is the the the the the the the the the the the the the the the the the the
100,5,5,4,100,,,What is the the the the the the the the the the the the the the the the the the
100,6,5,4,100,,,What is the the the the the the the the the the the the the the the the the the
100,7,5,4,100,,,What is the the the the the the the the the the the the the the the the the the
100,8,5,4,100,,,What is the the the the the the the the the the the the the the the the the the
100,9,5,4,100,,,What is the the the the the the the the the the the the the the the the the the
