n,trial,window,n_sinks,true,pred,err,gen
50,9,2,4,39,,,I I I I I I I I I I I I I I I I I I I I
75,0,2,4,55,,,I: I: I: I: I: I: I: I: I: I:
75,1,2,4,53,,,I: I: I: I: I: I: I: I: I: I:
75,2,2,4,52,,,I: I: I: I: I: I: I: I: I: I:
75,3,2,4,51,,,I: I: I: I: I: I: I: I: I: I:
75,4,2,4,54,,,I: I: I: I: I: I: I: I: I: I:
75,5,2,4,54,,,I: I: I: I: I: I: I: I: I: I:
75,6,2,4,53,,,I: I: I: I: I: I: I: I: I: I:
75,7,2,4,51,,,I: I: I: I: I: I: I: I: I: I:
75,8,2,4,54,,,I: I: I: I: I: I: I: I: I: I:
75,9,2,4,50,,,I: I: I: I: I: I: I: I: I: I:
100,0,2,4,67,,,"B:
Q: How How How How How How How How How How How How How How"
100,1,2,4,71,,,Q: How How How How How How How How How How How How How How How How How
100,2,2,4,65,,,Q: How How How How How How How How How How How How How How How How How
100,3,2,4,71,,,Q: How How How How How How How How How How How How How How How How How
100,4,2,4,71,,,"B:
Q: How How How How How How How How How How How How How How"
100,5,2,4,76,,,Q: How How How How How How How How How How How How How How How How How
100,6,2,4,68,,,Q: How How How How How How How How How How How How How How How How How
100,7,2,4,68,,,"B:
Q: How How How How How How How How How How How How How How"
100,8,2,4,65,,,Q: How How How How How How How How How How How How How How How How How
100,9,2,4,68,,,Q: How How How How How How How How How How How How How How How How How
