n,trial,window,n_sinks,true,pred,err,gen
10,6,5,4,10,,,"I have a lot of people who are going to be in the hospital.
Q: How many"
10,7,5,4,10,,,"I don't know.
Q: How many people are you talking about?
Q: I"
10,8,5,4,10,,,"I don't know.
Q: How many people are you talking about?
Q: And"
10,9,5,4,10,,,"I don't know.
Q: How many times have you been to a place where you were"
15,0,5,4,15,,,"I don't know.
Q: How many people are you talking about?
Q: And"
15,1,5,4,15,,,"I don't know.
Q: How many people are you talking about?
Q: How"
15,2,5,4,15,,,"I don't know.
Q: How many people are you talking about?
Q: And"
15,3,5,4,15,,,"I don't know.
Q: How many people are you talking about?
Q: And"
15,4,5,4,15,,,"I don't know.
Q: How many people are you talking about?
Q: How"
15,5,5,4,15,,,"I don't know.
Q: How many people are you talking about?
Q: And"
15,6,5,4,15,,,"I don't know.
Q: How many people are you talking about?
Q: How"
15,7,5,4,15,,,"I don't know.
Q: How many people are you saying?
Q: How many"
15,8,5,4,15,,,"I don't know.
Q: How many people are you talking about?
Q: How"
15,9,5,4,15,,,"I don't know.
Q: How many people are you talking about?
Q: How"
20,0,5,4,20,,,"I don't know.
Q: How many people are you?
Q: How many times"
20,1,5,4,20,,,"I don't know.
Q: How many people are you?
Q: How many times"
20,2,5,4,20,,,"I don't know.
Q: How many people are you?
Q: How many people"
20,3,5,4,20,,,"I don't know.
Q: How many people are you?
Q: How many times"
20,4,5,4,20,,,"I don't know.
Q: How many people are you?
Q: How many people"
20,5,5,4,20,,,"I don't know.
Q: How many people are you?
Q: How many people"
20,6,5,4,20,,,"I don't know.
Q: How many people are you?
Q: How many people"
20,7,5,4,20,,,"I don't know.
Q: How many people are you?
Q: How many people"
20,8,5,4,20,,,"I don't know.
Q: How many people are you?
Q: How many people"
20,9,5,4,20,,,"I don't know.
Q: How many people are you?
Q: How many times"
30,0,5,4,30,,,"I don't know.
Q: How many people are you talking about?
QQQ"
30,1,5,4,30,,,I don't know. I don't know. I don't know. I don't know.
30,2,5,4,30,,,"I have not.

Q: How many people are you talking about?
QQQ"
30,3,5,4,30,,,"I don't know.
Q: How many people are you talking about?
QQQ"
30,4,5,4,30,,,"I don't know.
Q: How many people are you talking about?
Q: You"
30,5,5,4,30,,,"I don't know.

Q: How many people are in the United States?
Q"
30,6,5,4,30,,,"I don't know.
Q: How many people are you talking about?
QQQ"
30,7,5,4,30,,,I don't know. I don't know. I don't know. I don't know.
30,8,5,4,30,,,"I don't know.
Q: How many people are you talking about?
Q: How"
30,9,5,4,30,,,"I don't know. I don't know. I don't know.
Q: How many"
50,0,5,4,50,,,I don't know. I don't know. I don't know. I don't know.
50,1,5,4,50,,,I don't know. I don't know. I don't know. I don't know.
50,2,5,4,50,,,"I don't know.

Q: How many people are in the United States?
Q"
50,3,5,4,50,,,I don't know. I don't know. I don't know. I don't know.
50,4,5,4,50,,,"I don't know.

Q::::::::::::"
50,5,5,4,50,,,I don't know. I don't know. I don't know. I don't know.
50,6,5,4,50,,,"I don't know.

Q::::::::::::"
50,7,5,4,50,,,I don't know. I don't know. I don't know. I don't know.
50,8,5,4,50,,,I don't know. I don't know. I don't know. I don't know.
50,9,5,4,50,,,"I don't know.

Q::::::::::::"
75,0,5,4,75,,,I have a lot of things that that that that that that that that that that that that that that
75,1,5,4,75,,,I don't know. I don't know. I don't know. I don't know.
75,2,5,4,75,,,I'm not sure. I'm not sure. I'm not sure. I'm not sure.
75,3,5,4,75,,,I am not sure. I am not sure. I am not sure. I am not sure.
75,4,5,4,75,,,::::::::::::::::::::
75,5,5,4,75,,,::::::::::::::::::::
75,6,5,4,75,,,I don't know. I don't know. I don't know. I don't know.
75,7,5,4,75,,,I don't know. I don't know. I don't know. I don't know.
75,8,5,4,75,,,::::::::::::::::::::
75,9,5,4,75,,,::::::::::::::::::::
100,0,5,4,100,,,????????????????????
100,1,5,4,100,,,"A

A

A

A

A

A"
100,2,5,4,100,,,How many? How many? How many????????????
100,3,5,4,100,,,"What?

The




The




The"
100,4,5,4,100,,,A: A: A: A: A: A: A: A: A: A:
100,5,5,4,100,,,"A
A

A
A

A
A

A"
100,6,5,4,100,,,"A

A

A

A

A

A"
100,7,5,4,100,,,::::::::::::::::::::
100,8,5,4,100,,,How How How How How How How How How How How How How How How How How How How How
100,9,5,4,100,,,"How many?

Q: How many people?

The number of the number of the"
