n,trial,window,n_sinks,true,pred,err,gen
10,9,2,4,10,,,I'm not sure if you are a a a a a a a a a a a a a
15,0,2,4,15,,,"I am a member of the National Security Council vote on the-
(S)
Q:"
15,1,2,4,15,,,"I am a member of the National Security Council vote on the-
(S)
Q:"
15,2,2,4,15,,,"I am a member of the National Security Council vote on the-
(S)
Q:"
15,3,2,4,15,,,"I am a member of the National Security Council vote on the-
(S)
Q:"
15,4,2,4,15,,,"I am a member of the National Security Council vote on the-
(S)
Q:"
15,5,2,4,15,,,"I am a member of the National Security Council vote on the-
(S)
Q:"
15,6,2,4,15,,,"I am a member of the National Security Council vote on the-
(S)
Q:"
15,7,2,4,15,,,"I am a member of the National Security Council vote on the-
(S)
Q:"
15,8,2,4,15,,,"I am a member of the National Security Council vote on the-
(S)
Q:"
15,9,2,4,15,,,"I am a member of the National Security Council vote on the-
(S)
Q:"
20,0,2,4,20,,,I'm not a a a a a a a a a a a a a a a a a
20,1,2,4,20,,,I'm not a a a a a a a a a a a a a a a a a
20,2,2,4,20,,,I'm not a a a a a a a a a a a a a a a a a
20,3,2,4,20,,,I'm not a a a a a a a a a a a a a a a a a
20,4,2,4,20,,,I'm not a a a a a a a a a a a a a a a a a
20,5,2,4,20,,,I'm not a a a a a a a a a a a a a a a a a
20,6,2,4,20,,,I'm not a a a a a a a a a a a a a a a a a
20,7,2,4,20,,,I'm not a a a a a a a a a a a a a a a a a
20,8,2,4,20,,,I'm not a a a a a a a a a a a a a a a a a
20,9,2,4,20,,,I'm not a a a a a a a a a a a a a a a a a
30,0,2,4,30,,,"I am a member of the National Security Council vote on the other side of the story.
Q"
30,1,2,4,30,,,"I am a member of the National Security Council vote on the other side of the story.
Q"
30,2,2,4,30,,,"I am a member of the National Security Council vote on the other side of the story.
Q"
30,3,2,4,30,,,"I am a member of the National Security Council vote on the other side of the story.
Q"
30,4,2,4,30,,,"I am a member of the National Security Council vote on the other side of the story.
Q"
30,5,2,4,30,,,"I am a member of the National Security Council vote on the other side of the story.
Q"
30,6,2,4,30,,,"I am a member of the National Security Council vote on the other side of the story.
Q"
30,7,2,4,30,,,"I am a member of the National Security Council vote on the other side of the story.
Q"
30,8,2,4,30,,,"I am a member of the National Security Council vote on the other side of the story.
Q"
30,9,2,4,30,,,"I am a member of the National Security Council vote on the other side of the story.
Q"
50,0,2,4,50,,,I: I: I: I: I: I: I: I: I: I:
50,1,2,4,50,,,I: I: I: I: I: I: I: I: I: I:
50,2,2,4,50,,,I: I: I: I: I: I: I: I: I: I:
50,3,2,4,50,,,I: I: I: I: I: I: I: I: I: I:
50,4,2,4,50,,,I: I: I: I: I: I: I: I: I: I:
50,5,2,4,50,,,I: I: I: I: I: I: I: I: I: I:
50,6,2,4,50,,,I: I: I: I: I: I: I: I: I: I:
50,7,2,4,50,,,I: I: I: I: I: I: I: I: I: I:
50,8,2,4,50,,,I: I: I: I: I: I: I: I: I: I:
50,9,2,4,50,,,I: I: I: I: I: I: I: I: I: I:
75,0,2,4,75,,,"Q:
Q: What What What What What What What What What What What What What What"
75,1,2,4,75,,,"Q:
Q: What What What What What What What What What What What What What What"
75,2,2,4,75,,,"Q:
Q: What What What What What What What What What What What What What What"
75,3,2,4,75,,,"Q:
Q: What What What What What What What What What What What What What What"
75,4,2,4,75,,,"Q:
Q: What What What What What What What What What What What What What What"
75,5,2,4,75,,,"Q:
Q: What What What What What What What What What What What What What What"
75,6,2,4,75,,,"Q:
Q: What What What What What What What What What What What What What What"
75,7,2,4,75,,,"Q:
Q: What What What What What What What What What What What What What What"
75,8,2,4,75,,,"Q:
Q: What What What What What What What What What What What What What What"
75,9,2,4,75,,,"Q:
Q: What What What What What What What What What What What What What What"
100,0,2,4,100,,,Q: What What What What What What What What What What What What What What What What What
100,1,2,4,100,,,Q: What What What What What What What What What What What What What What What What What
100,2,2,4,100,,,Q: What What What What What What What What What What What What What What What What What
100,3,2,4,100,,,Q: What What What What What What What What What What What What What What What What What
100,4,2,4,100,,,Q: What What What What What What What What What What What What What What What What What
100,5,2,4,100,,,Q: What What What What What What What What What What What What What What What What What
100,6,2,4,100,,,Q: What What What What What What What What What What What What What What What What What
100,7,2,4,100,,,Q: What What What What What What What What What What What What What What What What What
100,8,2,4,100,,,Q: What What What What What What What What What What What What What What What What What
100,9,2,4,100,,,Q: What What What What What What What What What What What What What What What What What
